               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10904,            0.031971,            0.044581,           0.0038001,             0.20355,           0.0051129,           0.0016483,            0.084807,            0.024826,            0.042872,              0.0847,              0.0017,              0.0017
                   1,            0.085023,              0.0351,            0.039721,            0.005186,             0.72571,            0.098649,             0.03072,            0.072734,            0.021314,              0.0371,            0.068465,           0.0034654,           0.0034654
                   2,            0.067544,            0.030897,            0.033027,            0.091133,             0.39872,             0.10359,            0.033531,            0.071857,            0.017798,             0.03198,            0.052195,           0.0051951,           0.0051951
                   3,            0.065746,             0.02893,            0.027933,             0.32127,             0.45756,             0.35508,             0.14907,            0.064681,             0.01446,            0.023594,            0.035889,           0.0068891,           0.0068891
                   4,            0.063985,            0.026445,             0.02395,             0.34262,             0.49984,             0.33902,             0.16908,            0.070238,            0.013363,            0.019556,            0.019548,           0.0085476,           0.0085476
                   5,            0.062513,            0.023416,            0.020182,              0.3826,             0.62259,             0.45657,             0.15444,            0.062025,            0.012114,            0.017373,            0.009505,            0.009505,            0.009505
                   6,            0.059625,            0.020525,            0.017885,             0.33203,             0.72685,             0.53621,             0.27548,            0.059709,            0.011132,            0.015653,            0.009505,            0.009505,            0.009505
                   7,            0.059079,            0.020153,            0.016009,             0.50185,             0.76477,              0.6283,             0.24633,            0.056558,           0.0096906,            0.013224,            0.009406,            0.009406,            0.009406
                   8,            0.053752,            0.018115,            0.014814,             0.41433,             0.80639,             0.59456,             0.27143,            0.049763,           0.0093093,            0.011788,            0.009307,            0.009307,            0.009307
                   9,            0.052476,             0.01733,            0.013246,             0.51872,              0.8551,             0.68158,             0.34492,            0.048535,           0.0084946,            0.010943,            0.009208,            0.009208,            0.009208
                  10,            0.048785,            0.016093,            0.011475,             0.51814,             0.90304,             0.73824,             0.38819,            0.049933,           0.0075759,            0.011497,            0.009109,            0.009109,            0.009109
                  11,            0.049146,            0.015934,            0.011913,             0.77616,             0.84489,             0.85859,             0.47197,            0.044028,           0.0082385,            0.010906,             0.00901,             0.00901,             0.00901
                  12,            0.045428,            0.015221,              0.0108,              0.6396,             0.82827,             0.75274,             0.40801,            0.041052,           0.0074644,           0.0096243,            0.008911,            0.008911,            0.008911
                  13,            0.042752,            0.015149,           0.0092875,              0.7822,             0.92551,             0.88289,             0.53456,            0.041277,           0.0075354,           0.0092664,            0.008812,            0.008812,            0.008812
                  14,            0.042559,            0.014943,           0.0089751,             0.75435,             0.90251,             0.84257,             0.43272,            0.044473,           0.0074827,           0.0085528,            0.008713,            0.008713,            0.008713
                  15,            0.040615,            0.014045,           0.0081375,             0.69602,              0.9199,             0.84505,             0.47709,            0.041722,           0.0069172,           0.0073575,            0.008614,            0.008614,            0.008614
                  16,            0.040496,            0.012693,             0.00802,             0.75096,             0.94039,             0.88411,             0.52144,            0.038805,           0.0065029,           0.0080332,            0.008515,            0.008515,            0.008515
                  17,            0.039283,            0.014005,           0.0079169,             0.77005,             0.96525,             0.85211,             0.42801,            0.041298,           0.0067124,           0.0071348,            0.008416,            0.008416,            0.008416
                  18,            0.039379,            0.013305,           0.0088596,             0.91607,             0.96744,             0.95187,             0.58011,            0.036065,           0.0063632,            0.007104,            0.008317,            0.008317,            0.008317
                  19,            0.038224,            0.012728,           0.0076047,             0.86277,              0.9566,             0.94478,             0.67063,            0.033299,           0.0058954,           0.0068915,            0.008218,            0.008218,            0.008218
                  20,            0.036038,            0.012711,           0.0074786,             0.92415,              0.9312,             0.97378,             0.67676,            0.033871,           0.0058675,           0.0067487,            0.008119,            0.008119,            0.008119
                  21,            0.035899,            0.012409,           0.0083963,              0.8522,             0.92361,             0.95272,             0.67733,            0.031088,           0.0058421,           0.0074336,             0.00802,             0.00802,             0.00802
                  22,            0.034214,              0.0122,           0.0073299,             0.88185,             0.88266,             0.92159,             0.60618,            0.032897,           0.0072916,           0.0088789,            0.007921,            0.007921,            0.007921
                  23,            0.035165,             0.01159,           0.0074087,             0.86297,             0.90956,             0.94925,             0.65236,            0.031657,           0.0067374,           0.0064754,            0.007822,            0.007822,            0.007822
                  24,            0.034612,            0.011457,           0.0072307,             0.86246,             0.94002,              0.9389,             0.64047,            0.030245,           0.0066814,           0.0070054,            0.007723,            0.007723,            0.007723
                  25,            0.033645,            0.012153,           0.0062639,              0.8467,             0.87279,             0.91814,             0.62176,            0.032522,           0.0058972,           0.0062445,            0.007624,            0.007624,            0.007624
                  26,            0.034189,            0.011812,           0.0061451,             0.91379,             0.87387,              0.9465,             0.58659,            0.032762,           0.0060109,            0.007334,            0.007525,            0.007525,            0.007525
                  27,             0.03249,            0.012213,           0.0065609,             0.97106,             0.91689,             0.96257,             0.71348,               0.031,           0.0056663,           0.0063225,            0.007426,            0.007426,            0.007426
                  28,            0.032829,            0.011104,           0.0061469,              0.9115,              0.9037,             0.96393,             0.68461,            0.030397,           0.0057087,           0.0065256,            0.007327,            0.007327,            0.007327
                  29,            0.031508,            0.010625,           0.0067042,             0.94613,             0.89536,              0.9642,             0.71256,            0.030187,           0.0056901,           0.0063765,            0.007228,            0.007228,            0.007228
                  30,            0.032302,            0.011297,           0.0060779,             0.96963,             0.95971,             0.97701,             0.65421,            0.030978,           0.0055356,           0.0055628,            0.007129,            0.007129,            0.007129
                  31,             0.03122,            0.011101,           0.0062205,             0.95396,             0.91332,             0.96498,             0.67599,            0.030188,           0.0056625,           0.0053882,             0.00703,             0.00703,             0.00703
                  32,            0.032006,            0.012189,           0.0067542,             0.98428,             0.92071,             0.97823,             0.69246,            0.028907,           0.0054844,           0.0051883,            0.006931,            0.006931,            0.006931
                  33,            0.030825,            0.011788,           0.0065488,             0.97526,             0.90661,             0.97057,             0.72231,            0.029423,           0.0053601,           0.0050875,            0.006832,            0.006832,            0.006832
                  34,            0.030861,            0.011945,            0.006256,             0.89331,             0.93915,              0.9712,             0.69007,            0.028722,           0.0053723,           0.0055992,            0.006733,            0.006733,            0.006733
                  35,            0.030432,            0.011186,           0.0059764,             0.95478,             0.92473,             0.97627,             0.71655,             0.02876,           0.0052181,           0.0051501,            0.006634,            0.006634,            0.006634
                  36,            0.031694,            0.011408,           0.0063685,              0.9604,             0.96678,             0.98414,             0.69763,            0.028677,           0.0052195,           0.0050315,            0.006535,            0.006535,            0.006535
                  37,            0.029351,            0.010531,           0.0063373,              0.9587,             0.95581,             0.98677,             0.73364,             0.02791,           0.0051256,           0.0049891,            0.006436,            0.006436,            0.006436
                  38,            0.029309,            0.010607,           0.0049704,              0.9467,             0.95823,             0.97911,             0.71489,            0.028536,           0.0052896,           0.0051529,            0.006337,            0.006337,            0.006337
                  39,            0.027216,           0.0094282,           0.0056505,             0.91111,             0.94534,             0.97937,             0.75396,             0.02753,           0.0053529,           0.0052362,            0.006238,            0.006238,            0.006238
                  40,            0.029293,            0.010794,           0.0057622,             0.94099,             0.91481,              0.9759,             0.72729,            0.026651,           0.0052308,           0.0049918,            0.006139,            0.006139,            0.006139
                  41,            0.029245,            0.011321,           0.0056383,             0.92935,             0.96177,             0.97973,             0.77561,            0.025902,           0.0050111,            0.004731,             0.00604,             0.00604,             0.00604
                  42,            0.028102,            0.010763,           0.0059312,             0.92826,             0.95014,             0.98287,             0.77253,            0.025502,           0.0050168,           0.0047245,            0.005941,            0.005941,            0.005941
                  43,              0.0271,            0.010445,           0.0053167,             0.95824,             0.94607,             0.98142,              0.7079,            0.028764,           0.0050586,           0.0047316,            0.005842,            0.005842,            0.005842
                  44,            0.027927,           0.0099306,           0.0054869,             0.98282,             0.92894,             0.98581,             0.75236,            0.025518,           0.0048543,           0.0046088,            0.005743,            0.005743,            0.005743
                  45,            0.028263,           0.0096925,           0.0059059,             0.94629,             0.96064,             0.98186,             0.75508,            0.026243,           0.0049076,           0.0045698,            0.005644,            0.005644,            0.005644
                  46,            0.028281,             0.01015,           0.0061386,             0.92776,             0.98594,             0.98207,             0.74624,            0.026993,           0.0052177,           0.0048813,            0.005545,            0.005545,            0.005545
                  47,            0.026398,            0.010347,           0.0052921,              0.9549,             0.96095,             0.98017,             0.76798,            0.025007,           0.0048721,           0.0046864,            0.005446,            0.005446,            0.005446
                  48,            0.025832,            0.010478,            0.005145,             0.95704,             0.96934,              0.9812,             0.73602,            0.025021,           0.0050015,           0.0046015,            0.005347,            0.005347,            0.005347
                  49,            0.027475,            0.010172,           0.0056884,             0.96105,             0.95856,             0.98062,             0.76574,            0.025013,           0.0049337,           0.0046777,            0.005248,            0.005248,            0.005248
                  50,            0.026338,            0.010454,           0.0051253,             0.95213,             0.96478,             0.97917,               0.767,            0.025013,           0.0049007,           0.0048102,            0.005149,            0.005149,            0.005149
                  51,            0.025334,            0.010342,           0.0045437,             0.94067,             0.95405,              0.9797,             0.75208,             0.02404,           0.0049579,           0.0046651,             0.00505,             0.00505,             0.00505
                  52,            0.026128,            0.010083,           0.0056188,             0.94404,             0.94559,             0.97805,             0.74306,            0.024981,           0.0049075,           0.0044229,            0.004951,            0.004951,            0.004951
                  53,            0.024156,           0.0094271,           0.0046921,             0.95776,              0.9441,             0.98234,             0.76534,            0.023616,           0.0047819,            0.004402,            0.004852,            0.004852,            0.004852
                  54,            0.025878,           0.0099814,           0.0053593,             0.95147,             0.95995,             0.97892,             0.75989,            0.024485,           0.0048418,           0.0042859,            0.004753,            0.004753,            0.004753
                  55,            0.024153,            0.010229,           0.0044583,              0.9334,             0.96561,             0.97768,              0.7715,            0.024925,           0.0048595,           0.0043508,            0.004654,            0.004654,            0.004654
                  56,            0.025035,            0.010003,           0.0049381,             0.95011,             0.94989,             0.98103,             0.78387,            0.024824,           0.0048045,           0.0044292,            0.004555,            0.004555,            0.004555
                  57,            0.024249,           0.0099182,           0.0047676,             0.91843,             0.96794,             0.97951,             0.77144,            0.023112,           0.0046133,           0.0043706,            0.004456,            0.004456,            0.004456
                  58,            0.024574,           0.0092201,           0.0051346,             0.94859,             0.94271,              0.9772,             0.75764,            0.024398,           0.0045162,           0.0041888,            0.004357,            0.004357,            0.004357
